Force,ANSYS,WORK,ANSYS2,WORK2
5.12,2.397425,2.391045,2.42017,2.41374
5.08,2.394765,2.388395,2.41746,2.41104
5.04,2.39211,2.38574,2.41475,2.40833
5,2.389455,2.383085,2.41204,2.40562
4.96,2.3868,2.38044,2.40933,2.40292
4.92,2.38414,2.377785,2.40662,2.40021
4.88,2.381485,2.37513,2.40391,2.3975
4.84,2.378825,2.372475,2.4012,2.39479
4.8,2.376165,2.369825,2.39848,2.39209
4.76,2.37351,2.36717,2.39577,2.38938
4.72,2.37085,2.36451,2.39306,2.38667
4.68,2.368195,2.361855,2.39035,2.38396
4.64,2.36553,2.3592,2.38763,2.38125
4.6,2.362875,2.356545,2.38492,2.37854
4.56,2.360215,2.353885,2.38221,2.37583
4.52,2.35755,2.35123,2.37949,2.37312
4.48,2.354895,2.34857,2.37678,2.3704
4.44,2.352235,2.34591,2.37407,2.36769
4.4,2.34957,2.343255,2.37135,2.36498
4.36,2.34691,2.340595,2.36864,2.36227
4.32,2.34425,2.33793,2.36592,2.35955
4.28,2.34159,2.335275,2.36321,2.35684
4.24,2.33893,2.332615,2.3605,2.35413
4.2,2.336265,2.32995,2.35778,2.35141
4.16,2.333605,2.32729,2.35507,2.3487
4.12,2.33094,2.324625,2.35235,2.34598
4.08,2.32828,2.32197,2.34964,2.34327
4.04,2.325615,2.319305,2.34692,2.34055
4,2.322955,2.316645,2.34421,2.33784
3.96,2.32029,2.31398,2.34149,2.33512
3.92,2.317625,2.311315,2.33877,2.33241
3.88,2.314965,2.30865,2.33606,2.32969
3.84,2.3123,2.305985,2.33334,2.32697
3.8,2.30964,2.30332,2.33063,2.32425
3.76,2.306975,2.30066,2.32791,2.32154
3.72,2.30431,2.29799,2.32519,2.31882
3.68,2.301645,2.295325,2.32248,2.3161
3.64,2.29898,2.292655,2.31976,2.31338
3.6,2.296315,2.28999,2.31704,2.31066
3.56,2.29365,2.28732,2.31433,2.30794
3.52,2.290985,2.284655,2.31161,2.30522
3.48,2.28832,2.281985,2.30889,2.3025
3.44,2.28565,2.27932,2.30617,2.29978
3.4,2.282985,2.27665,2.30345,2.29706
3.36,2.28032,2.27398,2.30074,2.29434
3.32,2.277655,2.27131,2.29802,2.29162
3.28,2.274985,2.268645,2.2953,2.2889
3.24,2.27232,2.265975,2.29258,2.28618
3.2,2.26965,2.2633,2.28986,2.28345
3.16,2.26698,2.26063,2.28714,2.28073
3.12,2.264315,2.25796,2.28442,2.27801
3.08,2.26165,2.255285,2.28171,2.27528
3.04,2.25898,2.252615,2.27899,2.27256
3,2.256315,2.249945,2.27627,2.26984
2.96,2.253645,2.247265,2.27355,2.26711
2.92,2.250975,2.244595,2.27083,2.26439
2.88,2.248305,2.24192,2.26811,2.26166
2.84,2.245635,2.239245,2.26539,2.25894
2.8,2.24297,2.23657,2.26267,2.25621
2.76,2.2403,2.233895,2.25995,2.25348
2.72,2.23763,2.23122,2.25723,2.25076
2.68,2.234955,2.228545,2.2545,2.24803
2.64,2.232285,2.225865,2.25178,2.2453
2.6,2.229615,2.223195,2.24906,2.24258
2.56,2.226945,2.220515,2.24634,2.23985
2.52,2.224275,2.217835,2.24362,2.23712
2.48,2.221605,2.21516,2.2409,2.23439
2.44,2.21893,2.21248,2.23818,2.23166
