TIME,FORCE,ANSYS,WORK
516,-1846,-5.662365,-5.588495
517,-1839.5,-5.650575,-5.576695
518,-1833,-5.638785,-5.5649
519,-1826.5,-5.626985,-5.553095
520,-1820,-5.61518,-5.54129
521,-1813.5,-5.603375,-5.52947
522,-1807,-5.591565,-5.517655
523,-1800.5,-5.579745,-5.505835
524,-1794,-5.56792,-5.494005
525,-1787.5,-5.5561,-5.482175
526,-1781,-5.54427,-5.470345
527,-1774.5,-5.532435,-5.4585
528,-1768,-5.520595,-5.44666
529,-1761.5,-5.50875,-5.43481
530,-1755,-5.496905,-5.42296
531,-1748.5,-5.485055,-5.4111
532,-1742,-5.473195,-5.399235
533,-1735.5,-5.46134,-5.387375
534,-1729,-5.44947,-5.3755
535,-1722.5,-5.437605,-5.363625
536,-1716,-5.42573,-5.351745
537,-1709.5,-5.41385,-5.33986
538,-1703,-5.40197,-5.32797
539,-1696.5,-5.39008,-5.31608
540,-1690,-5.37819,-5.304185
541,-1683.5,-5.366295,-5.292275
542,-1677,-5.354395,-5.280375
543,-1670.5,-5.342485,-5.26846
544,-1664,-5.33058,-5.256545
545,-1657.5,-5.318665,-5.24462
546,-1651,-5.306745,-5.2327
547,-1644.5,-5.29482,-5.22077
548,-1638,-5.28289,-5.208835
549,-1631.5,-5.27096,-5.196895
550,-1625,-5.259025,-5.184955
551,-1618.5,-5.247085,-5.17301
552,-1612,-5.235135,-5.16106
553,-1605.5,-5.22319,-5.1491
554,-1599,-5.21123,-5.13714
555,-1592.5,-5.199275,-5.125175
556,-1586,-5.18731,-5.113205
557,-1579.5,-5.17534,-5.101225
558,-1573,-5.16337,-5.08925
559,-1566.5,-5.15139,-5.077265
560,-1560,-5.13941,-5.06528
561,-1553.5,-5.127425,-5.05328
562,-1547,-5.115435,-5.04129
563,-1540.5,-5.10344,-5.029285
564,-1534,-5.09144,-5.01728
565,-1527.5,-5.079435,-5.005265
566,-1521,-5.067425,-4.993255
567,-1514.5,-5.05541,-4.98123
568,-1508,-5.04339,-4.96921
569,-1501.5,-5.03137,-4.95718
570,-1495,-5.019345,-4.945145
571,-1488.5,-5.007315,-4.933105
572,-1482,-4.99528,-4.921065
573,-1475.5,-4.98324,-4.909015
574,-1469,-4.97119,-4.896965
575,-1462.5,-4.959145,-4.884905
576,-1456,-4.947085,-4.872845
577,-1449.5,-4.93503,-4.86078
578,-1443,-4.922965,-4.84871
579,-1436.5,-4.910895,-4.83663
580,-1430,-4.898825,-4.824555
581,-1423.5,-4.886745,-4.812465
582,-1417,-4.874665,-4.800375
583,-1410.5,-4.86258,-4.788285
584,-1404,-4.850485,-4.77619
585,-1397.5,-4.838395,-4.76408
586,-1391,-4.82629,-4.751975
587,-1384.5,-4.81419,-4.739865
588,-1378,-4.80208,-4.727745
589,-1371.5,-4.789965,-4.715625
590,-1365,-4.777845,-4.703495
591,-1358.5,-4.76572,-4.69137
592,-1352,-4.75359,-4.67923
593,-1345.5,-4.74146,-4.66709
594,-1339,-4.729325,-4.65495
595,-1332.5,-4.717185,-4.6428
596,-1326,-4.705035,-4.630645
597,-1319.5,-4.692885,-4.618485
598,-1313,-4.68073,-4.606325
599,-1306.5,-4.668565,-4.594155
600,-1300,-4.656405,-4.58198
601,-1293.5,-4.644235,-4.5698
602,-1287,-4.63206,-4.55762
603,-1280.5,-4.61988,-4.545435
604,-1274,-4.607695,-4.533245
605,-1267.5,-4.59551,-4.521045
606,-1261,-4.58332,-4.508845
607,-1254.5,-4.57112,-4.49664
608,-1248,-4.558915,-4.48443
609,-1241.5,-4.546715,-4.472215
610,-1235,-4.5345,-4.459995
611,-1228.5,-4.52228,-4.44777
612,-1222,-4.51006,-4.435545
613,-1215.5,-4.497835,-4.423305
614,-1209,-4.485605,-4.41107
615,-1202.5,-4.47337,-4.398825
616,-1196,-4.46113,-4.38658
617,-1189.5,-4.44889,-4.37433
618,-1183,-4.43664,-4.36207
619,-1176.5,-4.424385,-4.349805
620,-1170,-4.41213,-4.33754
621,-1163.5,-4.399865,-4.325265
622,-1157,-4.3876,-4.312995
623,-1150.5,-4.375325,-4.30071
624,-1144,-4.363045,-4.288425
625,-1137.5,-4.350765,-4.27613
626,-1131,-4.33848,-4.26384
627,-1124.5,-4.32619,-4.25154
628,-1118,-4.313895,-4.239235
629,-1111.5,-4.30159,-4.226925
630,-1105,-4.289285,-4.21461
631,-1098.5,-4.276975,-4.20229
632,-1092,-4.26466,-4.189965
633,-1085.5,-4.252345,-4.17764
634,-1079,-4.240015,-4.1653
635,-1072.5,-4.22769,-4.152965
636,-1066,-4.215355,-4.140625
637,-1059.5,-4.203015,-4.128275
638,-1053,-4.190675,-4.115925
639,-1046.5,-4.178325,-4.103565
640,-1040,-4.16597,-4.0912
641,-1033.5,-4.15361,-4.078835
642,-1027,-4.14125,-4.06646
643,-1020.5,-4.128885,-4.054085
644,-1014,-4.11651,-4.041705
645,-1007.5,-4.10413,-4.029315
646,-1001,-4.09175,-4.016925
647,-994.5,-4.079365,-4.004535
648,-988,-4.066975,-3.99213
649,-981.5,-4.05458,-3.97973
650,-975,-4.04218,-3.967315
651,-968.5,-4.029775,-3.9549
652,-962,-4.017365,-3.94248
653,-955.5,-4.004945,-3.930055
654,-949,-3.99253,-3.917625
655,-942.5,-3.9801,-3.90519
656,-936,-3.967675,-3.89275
657,-929.5,-3.955235,-3.88031
658,-923,-3.9428,-3.86786
659,-916.5,-3.930355,-3.855405
660,-910,-3.91791,-3.842945
661,-903.5,-3.905455,-3.830485
662,-897,-3.892995,-3.818015
663,-890.5,-3.88053,-3.80554
664,-884,-3.86806,-3.79306
665,-877.5,-3.85559,-3.78058
666,-871,-3.843115,-3.76809
667,-864.5,-3.83063,-3.755595
668,-858,-3.81814,-3.7431
669,-851.5,-3.80565,-3.730595
670,-845,-3.79315,-3.718085
671,-838.5,-3.78065,-3.705575
672,-832,-3.768145,-3.69306
673,-825.5,-3.75563,-3.680535
674,-819,-3.74311,-3.66801
675,-812.5,-3.73059,-3.655475
676,-806,-3.718065,-3.64294
677,-799.5,-3.705535,-3.630395
678,-793,-3.693,-3.61785
679,-786.5,-3.68046,-3.605295
680,-780,-3.66791,-3.59274
681,-773.5,-3.655355,-3.58018
682,-767,-3.642805,-3.56761
683,-760.5,-3.63024,-3.55504
684,-754,-3.61768,-3.542465
685,-747.5,-3.605105,-3.529885
686,-741,-3.592535,-3.517295
687,-734.5,-3.57995,-3.504705
688,-728,-3.56737,-3.49211
689,-721.5,-3.554775,-3.47951
690,-715,-3.54218,-3.4669
691,-708.5,-3.52958,-3.45429
692,-702,-3.516975,-3.441675
693,-695.5,-3.50437,-3.429055
694,-689,-3.49175,-3.416425
695,-682.5,-3.47913,-3.403795
696,-676,-3.466505,-3.39116
697,-669.5,-3.453875,-3.37852
698,-663,-3.44124,-3.36587
699,-656.5,-3.4286,-3.35322
700,-650,-3.415955,-3.340565
701,-643.5,-3.403305,-3.327905
702,-637,-3.39065,-3.315235
703,-630.5,-3.37799,-3.302565
704,-624,-3.36533,-3.28989
705,-617.5,-3.352655,-3.27721
706,-611,-3.339985,-3.26452
707,-604.5,-3.327305,-3.25183
708,-598,-3.31462,-3.239135
709,-591.5,-3.301935,-3.226435
710,-585,-3.289235,-3.213725
711,-578.5,-3.27654,-3.201015
712,-572,-3.26383,-3.1883
713,-565.5,-3.251125,-3.17558
714,-559,-3.23841,-3.16285
715,-552.5,-3.22569,-3.15012
716,-546,-3.212965,-3.137385
717,-539.5,-3.20024,-3.124645
718,-533,-3.1875,-3.111895
719,-526.5,-3.174765,-3.099145
720,-520,-3.162015,-3.08639
721,-513.5,-3.14927,-3.073625
722,-507,-3.13651,-3.06086
723,-500.5,-3.123755,-3.048085
724,-494,-3.11099,-3.03531
725,-487.5,-3.09822,-3.022525
726,-481,-3.085445,-3.00974
727,-474.5,-3.07267,-2.996945
728,-468,-3.05988,-2.98415
729,-461.5,-3.047095,-2.97135
730,-455,-3.034295,-2.95854
731,-448.5,-3.0215,-2.94573
732,-442,-3.00869,-2.93291
733,-435.5,-2.99588,-2.920085
734,-429,-2.983065,-2.907255
735,-422.5,-2.970245,-2.894425
736,-416,-2.95742,-2.88159
737,-409.5,-2.94459,-2.86874
738,-403,-2.931755,-2.855895
739,-396.5,-2.918915,-2.84304
740,-390,-2.90607,-2.830185
741,-383.5,-2.89322,-2.817315
